ASV,size,cutoff,phylum_name,class_name,order_name,family_name,genus_name,species_name,phylum_score,class_score,order_score,family_score,genus_score,species_score
uniq145545,16,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Dalechampia,unknown Dalechampia ,1,1,1,1,1,0.57
uniq144939,16,+,Streptophyta,NA,Lamiales,Lamiaceae,Clerodendrum,NA,1,1,1,1,1,0.9
uniq145339,16,+,Streptophyta,NA,Solanales,Solanaceae,Solanum,NA,1,0.93,0.89,0.88,0.28,0.14
uniq145210,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Handroanthus,Handroanthus impetiginosus,1,1,1,1,0.83,0.82
uniq145529,16,+,Streptophyta,NA,Solanales,Solanaceae,Solanum,Solanum manabiense,1,0.98,0.86,0.86,0.8,0.36
uniq145493,16,+,Streptophyta,NA,Fabales,Fabaceae,Lejeunea,NA,0.95,0.46,0.11,0.11,0.04,0.03
uniq145222,16,+,Streptophyta,NA,Fabales,Fabaceae,Anemone,Halofilum helgolandicum,0.94,0.62,0.12,0.12,0.06,0.03
uniq145708,16,+,Streptophyta,NA,Malvales,Malvaceae,Bastardia,Bastardia bivalvis,1,1,1,1,0.4,0.4
uniq145703,16,+,Streptophyta,NA,Lamiales,Acanthaceae,Justicia,Justicia brandegeeana,1,1,1,1,0.88,0.65
uniq144928,16,+,Streptophyta,NA,Lamiales,Bignoniaceae,Handroanthus,Handroanthus aureus,1,0.99,0.91,0.62,0.37,0.28
uniq145248,16,+,Streptophyta,NA,Fabales,Fabaceae,Cenostigma,Cenostigma eriostachys,1,1,0.99,0.99,0.99,0.92
uniq145704,16,+,Streptophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,Anacamptis coriophora,1,1,1,1,1,1
uniq145302,16,+,Streptophyta,NA,Porellales,Frullaniaceae,Frullania,Cornus officinalis,0.95,0.45,0.14,0.09,0.09,0.03
uniq145127,16,+,Streptophyta,NA,Sapindales,Burseraceae,Bursera,NA,1,1,1,1,1,0.42
uniq145896,16,+,Streptophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,NA,0.56,0.37,0.26,0.26,0.2,0.13
uniq145324,16,+,Streptophyta,NA,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia colletioides,1,0.99,0.95,0.95,0.94,0.49
uniq145538,16,+,Streptophyta,NA,Rosales,Rhamnaceae,Krugiodendron,Krugiodendron ferreum,1,1,1,1,0.99,0.99
uniq145521,16,+,Streptophyta,NA,Asparagales,Lejeuneaceae,Riccia,unknown Riccia ,0.94,0.31,0.14,0.1,0.1,0.04
uniq145783,16,+,Streptophyta,NA,Malvales,Cornaceae,Cornus,Cornus officinalis,0.96,0.65,0.09,0.09,0.09,0.09
uniq145727,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Nitella,Riccia huebeneriana,0.96,0.32,0.1,0.09,0.08,0.06
uniq145354,16,+,Streptophyta,NA,Lamiales,Acanthaceae,Anisacanthus,Anisacanthus puberulus,1,1,1,1,0.62,0.52
uniq145876,16,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Caulerpa taxifolia,0.96,0.46,0.1,0.1,0.04,0.02
uniq146270,16,+,Streptophyta,NA,Porellales,Ricciaceae,Riccia,Ricciocarpos natans,0.99,0.42,0.13,0.11,0.07,0.04
uniq145317,16,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,Ceiba schottii,1,1,1,1,1,0.45
uniq146173,16,+,Streptophyta,NA,Asterales,Fabaceae,Aucuba,NA,0.91,0.7,0.14,0.13,0.04,0.04
uniq145881,16,+,Streptophyta,NA,Gentianales,Lejeuneaceae,Casasia,Casasia calophylla,0.94,0.49,0.08,0.08,0.03,0.03
uniq145548,16,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,1,0.37,0.13,0.13,0.13,0.03
uniq145873,16,+,Streptophyta,NA,Fabales,Fabaceae,Limonium,Apteria aphylla,0.84,0.52,0.09,0.08,0.03,0.03
uniq145895,16,+,Streptophyta,NA,Asparagales,Fabaceae,Isoetes,Isoetes orientalis,0.92,0.37,0.09,0.07,0.04,0.04
uniq145394,16,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Hebanthe,Hebanthe grandiflora,1,1,1,1,0.87,0.49
uniq145934,16,+,Streptophyta,NA,Solanales,Solanaceae,Capsicum,NA,1,1,1,1,0.98,0.78
uniq145541,16,+,Streptophyta,NA,Solanales,Solanaceae,Capsicum,NA,1,1,1,1,0.9,0.72
uniq146091,16,+,Streptophyta,NA,Fabales,Fabaceae,Nitella,Polylepis australis,0.91,0.51,0.07,0.07,0.06,0.03
uniq146036,16,+,Streptophyta,NA,Lamiales,Asteraceae,Piper,Nuxia floribunda,0.95,0.73,0.12,0.11,0.03,0.03
uniq146193,16,+,Streptophyta,NA,Fabales,Fabaceae,Schoenus,Schoenus submicrostachyus,0.98,0.42,0.18,0.18,0.09,0.09
uniq145728,16,+,Streptophyta,NA,Asterales,Asteraceae,Chromolaena,NA,1,1,1,1,0.98,0.98
uniq146959,16,+,Streptophyta,NA,Rosales,Fabaceae,Ulva,NA,0.96,0.63,0.11,0.09,0.04,0.03
uniq146092,16,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,Eleocharis squamigera,0.99,0.49,0.13,0.13,0.06,0.02
uniq146096,16,+,Streptophyta,NA,Salviniales,Salviniaceae,Azolla,Azolla caroliniana,0.97,0.45,0.12,0.12,0.12,0.06
uniq145677,16,+,Streptophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,Annona stenophylla,1,0.92,0.92,0.92,0.9,0.9
uniq145729,16,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,NA,1,0.54,0.54,0.54,0.54,0.51
uniq146204,16,+,Streptophyta,NA,Fabales,Fabaceae,Zapoteca,Leucaena esculenta,1,1,1,1,0.64,0.36
uniq145760,16,+,Streptophyta,NA,Fabales,Fabaceae,Pleione,NA,1,0.87,0.2,0.2,0.07,0.07
uniq145767,16,+,Streptophyta,NA,Solanales,Solanaceae,Capsicum,Capsicum annuum,1,1,0.99,0.99,0.97,0.85
uniq145757,16,+,Streptophyta,NA,Solanales,Solanaceae,Solanum,Solanum manabiense,1,0.99,0.83,0.83,0.74,0.37
uniq146424,16,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella gracillima,0.93,0.53,0.12,0.12,0.12,0.1
uniq145937,16,+,Streptophyta,NA,Asterales,Asteraceae,Otopappus,Otopappus verbesinoides,1,1,0.96,0.96,0.6,0.31
uniq146072,16,+,Streptophyta,NA,Ericales,Primulaceae,Myrsine,Myrsine umbellata,1,0.97,0.97,0.97,0.8,0.72
uniq146528,16,+,Streptophyta,NA,Fabales,Ricciaceae,Riccia,Riccia sorocarpa,0.92,0.31,0.11,0.11,0.1,0.06
uniq145821,16,+,Streptophyta,NA,Garryales,Garryaceae,Garrya,NA,1,1,1,1,1,1
uniq146022,16,+,Streptophyta,NA,Fabales,Fabaceae,Acacia,Acacia victoriae,1,0.98,0.91,0.9,0.36,0.18
uniq146315,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Trebouxia,unknown Trebouxia ,0.88,0.33,0.14,0.13,0.06,0.05
uniq146621,16,+,Streptophyta,NA,Asparagales,Fabaceae,Acis,Acis autumnalis,0.95,0.4,0.15,0.1,0.04,0.03
uniq146841,16,+,Streptophyta,NA,Asparagales,Orchidaceae,Azolla,unknown Trebouxia ,0.92,0.38,0.16,0.11,0.08,0.05
uniq146484,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Riccia,Riccia huebeneriana,0.98,0.36,0.13,0.12,0.08,0.05
uniq146338,16,+,Streptophyta,NA,Malpighiales,Characeae,Nitella,Nitella gracillima,0.97,0.4,0.11,0.08,0.08,0.04
uniq146156,16,+,Streptophyta,NA,Cucurbitales,Cucurbitaceae,Cyclanthera,NA,1,1,1,1,0.57,0.46
uniq146354,16,+,Streptophyta,NA,Asparagales,Fabaceae,Nitella,Azolla caroliniana,0.93,0.42,0.09,0.07,0.06,0.05
uniq146391,16,+,Streptophyta,NA,Fabales,Fabaceae,Pterogyne,Pterogyne nitens,1,1,1,1,1,1
uniq146476,16,+,Streptophyta,NA,Fabales,Fabaceae,Arachis,Glycosmis oligantha,0.96,0.52,0.12,0.12,0.05,0.03
uniq146493,16,+,Streptophyta,NA,Fabales,Fabaceae,Lejeunea,unknown Eleocharis ,0.94,0.37,0.09,0.09,0.05,0.03
uniq146147,16,+,Streptophyta,NA,Sapindales,Sapindaceae,Serjania,Serjania triquetra,1,1,1,1,0.98,0.94
uniq146526,16,+,Streptophyta,NA,Asparagales,Ricciaceae,Azolla,Azolla caroliniana,0.94,0.36,0.09,0.07,0.05,0.03
uniq146532,16,+,Streptophyta,NA,Asterales,Asteraceae,Caulerpa,Caulerpa peltata,0.82,0.48,0.11,0.09,0.05,0.04
uniq146582,16,+,Streptophyta,NA,Fabales,Fabaceae,Sphagnum,Sphagnum angustifolium,0.96,0.44,0.12,0.12,0.07,0.04
uniq146303,16,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,Ceiba schottii,1,0.97,0.89,0.89,0.81,0.55
uniq146048,16,+,Streptophyta,NA,Caryophyllales,Polygonaceae,Coccoloba,Coccoloba northropiae,1,1,1,1,1,0.31
uniq146450,16,+,Streptophyta,NA,Cornales,Loasaceae,Klaprothia,Klaprothia fasciculata,1,1,1,1,1,1
uniq146497,16,+,Streptophyta,NA,Ericales,Ebenaceae,Diospyros,NA,1,0.94,0.81,0.81,0.81,0.22
uniq146319,16,+,Streptophyta,NA,Charales,Characeae,Nitella,Nitella imperialis,0.99,0.46,0.08,0.08,0.08,0.04
uniq146113,16,+,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea lindenii,1,0.98,0.98,0.98,0.98,0.98
uniq146864,16,+,Streptophyta,NA,Gentianales,Characeae,Nitella,NA,0.94,0.43,0.08,0.06,0.06,0.04
uniq146394,16,+,Streptophyta,NA,Solanales,Solanaceae,Capsicum,NA,1,1,1,1,1,0.83
uniq145984,16,+,Streptophyta,NA,Solanales,Convolvulaceae,Ipomoea,Ipomoea quamoclit,1,1,0.99,0.99,0.99,0.99
uniq146502,16,+,Streptophyta,NA,Cornales,Cornaceae,Cornus,Cornus officinalis,0.94,0.52,0.08,0.08,0.08,0.08
uniq146572,16,+,Streptophyta,NA,Malpighiales,Malpighiaceae,Cuscuta,Banisteriopsis anisandra,1,0.85,0.17,0.15,0.12,0.07
uniq146882,16,+,Streptophyta,NA,Fabales,Fabaceae,Pityrocarpa,Pityrocarpa obliqua,1,0.97,0.92,0.92,0.72,0.71
uniq147032,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Basicladia,unknown Basicladia ,0.94,0.43,0.12,0.11,0.05,0.05
uniq146095,16,+,Streptophyta,NA,Solanales,Solanaceae,Solanum,Solanum palinacanthum,1,1,1,1,1,0.51
uniq146967,16,+,Streptophyta,NA,Fabales,Fabaceae,Ficus,Selaginella tortipila,0.99,0.74,0.21,0.21,0.05,0.03
uniq146875,16,+,Streptophyta,NA,Asparagales,Orchidaceae,Isoetes,NA,0.92,0.36,0.13,0.13,0.06,0.05
uniq147395,16,+,Streptophyta,NA,Porellales,Lejeuneaceae,Azolla,Azolla caroliniana,0.98,0.34,0.17,0.11,0.08,0.05
uniq146488,16,+,Streptophyta,NA,Malvales,Malvaceae,Ceiba,Ceiba acuminata,1,0.99,0.99,0.99,0.99,0.56
uniq146643,16,+,Streptophyta,NA,Caryophyllales,Amaranthaceae,Amaranthus,NA,1,1,1,1,1,0.71
uniq146902,16,+,Streptophyta,NA,Fabales,Fabaceae,Lonchocarpus,Lonchocarpus phlebophyllus,1,1,1,1,0.97,0.43
